model,bf,model_label,baseline,bf_over_null_log,bf_over_null_raw,bf_best_over_rest
AD,28.75206324294632,ml+ & br- & po-,9.278098726768192,19.47396451617813,286705041.7568731,1
ID,25.35188401103817,ml= & br- & po-,9.278098726768192,16.073785284269977,9566569.969280837,29.969471051537816
HB,25.057897728810634,ml+ & br= & po-,9.278098726768192,15.779799002042441,7129837.506670142,40.212002235486196
AH,22.28747493925636,ml- & br- & po-,9.278098726768192,13.009376212488167,446581.0619265936,642
IB,22.0640811604722,ml= & br+ & po-,9.278098726768192,12.785982433704007,357175.46324579156,802.7008326705129
JB,21.79278113174226,ml= & br= & po-,9.278098726768192,12.514682404974067,272306.1884451365,1052.8774369541648
HD,18.438936251132965,ml- & br= & po-,9.278098726768192,9.160837524364773,9517.024480538537,30125.49167475183
GB,14.953058775297642,ml+ & br- & po=,9.278098726768192,5.674960048529449,291.47669339016875,983629.3887590237
KB,12.2287273037248,ml= & br- & po=,9.278098726768192,2.950628576956607,19.11796706573723,14996628.08137687
EA,11.921767791234473,ml+ & br= & po=,9.278098726768192,2.6436690644662804,14.064713393726699,20384705.591281544
UN,9.278098726768192,BR & ML & PO (no effect in all manipulations),9.278098726768192,0,1,286705041.7568731
GA,8.848042353505544,ml+ & br+ & po=,9.278098726768192,-0.4300563732626479,0.6504724244368865,440764329.10291845
GD,8.848042353505544,ml- & br- & po=,9.278098726768192,-0.4300563732626479,0.6504724244368865,440764329.10291845
EB,6.509898550002321,ml- & br= & po=,9.278098726768192,-2.7682001767658715,0.06277488682761304,4567193287.726629
KA,6.304248714730869,ml= & br+ & po=,9.278098726768192,-2.9738500120373237,0.05110617170613656,5609988621.441724
AA,-Inf,ml+ & br+ & po+,9.278098726768192,-Inf,0,Inf
AB,-Inf,ml+ & br+ & po-,9.278098726768192,-Inf,0,Inf
AC,-Inf,ml+ & br- & po+,9.278098726768192,-Inf,0,Inf
AE,-Inf,ml- & br+ & po+,9.278098726768192,-Inf,0,Inf
AF,-Inf,ml- & br+ & po-,9.278098726768192,-Inf,0,Inf
AG,-Inf,ml- & br- & po+,9.278098726768192,-Inf,0,Inf
GC,-Inf,ml- & br+ & po=,9.278098726768192,-Inf,0,Inf
HA,-Inf,ml+ & br= & po+,9.278098726768192,-Inf,0,Inf
HC,-Inf,ml- & br= & po+,9.278098726768192,-Inf,0,Inf
IA,-Inf,ml= & br+ & po+,9.278098726768192,-Inf,0,Inf
IC,-Inf,ml= & br- & po+,9.278098726768192,-Inf,0,Inf
JA,-Inf,ml= & br= & po+,9.278098726768192,-Inf,0,Inf
