model,bf,model_label,baseline,bf_over_null_log,bf_over_null_raw,bf_best_over_rest
AD,8.586235840872535,ml+ & br- & po-,1.0046378599730226,7.581597980899512,1961.7613191181479,1
HB,8.45577580183989,ml+ & br= & po-,1.0046378599730226,7.451137941866867,1721.8213636122755,1.1393524093594083
AB,6.2710127404928055,ml+ & br+ & po-,1.0046378599730226,5.266374880519783,193.7124572682534,10.127182044887784
JB,6.209298565712022,ml= & br= & po-,1.0046378599730226,5.204660705738999,182.1190703293856,10.771861044370871
ID,6.1354357493298135,ml= & br- & po-,1.0046378599730226,5.130797889356791,169.1520288192689,11.59762216753663
IB,4.670647444112946,ml= & br+ & po-,1.0046378599730226,3.666009584139924,39.095586529617655,50.17858774498691
HD,4.063348892548219,ml- & br= & po-,1.0046378599730226,3.0587110325751965,21.3000843451811,92.10110567294414
AH,3.914637472912622,ml- & br- & po-,1.0046378599730226,2.9099996129395995,18.35679146182949,106.86842105263166
EA,3.034106955231895,ml+ & br= & po=,1.0046378599730226,2.0294690952588725,7.610045077095471,257.7857685787709
GB,2.7963850997189157,ml+ & br- & po=,1.0046378599730226,1.7917472397458931,5.999926623555708,326.9642184316512
UN,1.0046378599730226,BR & ML & PO (no effect in all manipulations),1.0046378599730226,0,1,1961.7613191181479
KB,0.9345499089897608,ml= & br- & po=,1.0046378599730226,-0.07008795098326182,0.9323118185588026,2104.190121874354
GA,0.6789708070453088,ml+ & br+ & po=,1.0046378599730226,-0.3256670529277138,0.7220455503674796,2716.9495305659375
AF,0.2770513131862362,ml- & br+ & po-,1.0046378599730226,-0.7275865467867864,0.48307345952182873,4061.0000000000027
KA,-1.18629437140884,ml= & br+ & po=,1.0046378599730226,-2.1909322313818627,0.11181246492792805,17545.10394152081
EB,-1.5612373366049055,ml- & br= & po=,1.0046378599730226,-2.5658751965779283,0.0768518914877235,25526.519661933424
GD,-1.6839774356758277,ml- & br- & po=,1.0046378599730226,-2.6886152956488503,0.0679749995115828,28860.041680233742
GC,-3.6988804562180926,ml- & br+ & po=,1.0046378599730226,-4.703518316191115,0.00906333326821104,216450.31260175307
AA,-Inf,ml+ & br+ & po+,1.0046378599730226,-Inf,0,Inf
AC,-Inf,ml+ & br- & po+,1.0046378599730226,-Inf,0,Inf
AE,-Inf,ml- & br+ & po+,1.0046378599730226,-Inf,0,Inf
AG,-Inf,ml- & br- & po+,1.0046378599730226,-Inf,0,Inf
HA,-Inf,ml+ & br= & po+,1.0046378599730226,-Inf,0,Inf
HC,-Inf,ml- & br= & po+,1.0046378599730226,-Inf,0,Inf
IA,-Inf,ml= & br+ & po+,1.0046378599730226,-Inf,0,Inf
IC,-Inf,ml= & br- & po+,1.0046378599730226,-Inf,0,Inf
JA,-Inf,ml= & br= & po+,1.0046378599730226,-Inf,0,Inf
