model,bf,model_label
a,40.977200087551765,BR&ML&PO
b,1.6376949865291308,PO
c,25.12733390797322,ML
d,5.611640667794622,BR
e,9.796428916428072,BR & PO
f,30.211324060269718,ML & PO
g,35.192452711162865,BR & ML
AA,38.74280864468483,BR = ML = PO
BB,35.70197221157941,(BR=ML) < PO
CC,39.083725334359485,(BR=ML) > PO
DD,35.34545507559218,(ML=PO) < BR
EE,38.88722818860987,(ML=PO) > BR
FF,44.05550286780565,(BR=PO) < ML
GG,-Inf,(BR=PO) > ML
HH,-Inf,BR > ML < PO & BR < PO
II,-Inf,BR > ML < PO & BR > PO
JJ,41.78626580545924,BR < ML > PO & BR < PO
KK,42.293910370435725,BR < ML > PO & BR > PO
LL,35.04797003256256,BR < ML < PO & BR < PO
MM,35.45789379456081,BR > ML > PO & BR > PO
UN,-2.1463525292275216,BR & ML & PO (no effect in all manipulations)
