model,bf,model_label
a,109.52056320033329,BR&ML&PO
b,43.900138181089325,PO
c,-2.1196704529846127,ML
d,21.080169139146598,BR
e,90.30478785855665,BR & PO
f,57.99757501634293,ML & PO
g,33.57767300601523,BR & ML
AA,103.86510106992824,BR = ML = PO
BB,111.73784272259343,(BR=ML) < PO
CC,-Inf,(BR=ML) > PO
DD,100.19933327473667,(ML=PO) < BR
EE,101.99922029832811,(ML=PO) > BR
FF,-Inf,(BR=PO) < ML
GG,108.08176359225178,(BR=PO) > ML
HH,111.28753711428021,BR > ML < PO & BR < PO
II,102.90009181175459,BR > ML < PO & BR > PO
JJ,-Inf,BR < ML > PO & BR < PO
KK,-Inf,BR < ML > PO & BR > PO
LL,107.81905942958531,BR < ML < PO & BR < PO
MM,-Inf,BR > ML > PO & BR > PO
UN,-12.323785948516674,BR & ML & PO (no effect in all manipulations)
