model,bf,model_label
a,90.21699624810394,BR&ML&PO
b,15.147892454520099,PO
c,92.23819046944473,ML
d,13.902075534033868,BR
e,12.183164680343843,BR & PO
f,90.77421344768116,ML & PO
g,89.10709165532344,BR & ML
AA,26.735185344232654,BR = ML = PO
BB,25.607044962102833,(BR=ML) < PO
CC,32.36953151510676,(BR=ML) > PO
DD,-Inf,(ML=PO) < BR
EE,47.43694078269474,(ML=PO) > BR
FF,91.07518777559913,(BR=PO) < ML
GG,-Inf,(BR=PO) > ML
HH,-Inf,BR > ML < PO & BR < PO
II,-Inf,BR > ML < PO & BR > PO
JJ,89.1065998271538,BR < ML > PO & BR < PO
KK,87.7563201983797,BR < ML > PO & BR > PO
LL,-Inf,BR < ML < PO & BR < PO
MM,-Inf,BR > ML > PO & BR > PO
UN,16.688754225300215,BR & ML & PO (no effect in all manipulations)
