confidence_type,participant,bias_source,bias_direction,line_type,label,value
concurrent,S001,payoff,long,long,s1_1,57
concurrent,S001,payoff,long,long,s1_2,53
concurrent,S001,payoff,long,long,s2_1,2
concurrent,S001,payoff,long,long,s2_2,8
concurrent,S001,payoff,long,short,s1_1,40
concurrent,S001,payoff,long,short,s1_2,0
concurrent,S001,payoff,long,short,s2_1,11
concurrent,S001,payoff,long,short,s2_2,69
concurrent,S001,payoff,short,long,s1_1,21
concurrent,S001,payoff,short,long,s1_2,44
concurrent,S001,payoff,short,long,s2_1,47
concurrent,S001,payoff,short,long,s2_2,8
concurrent,S001,payoff,short,short,s1_1,2
concurrent,S001,payoff,short,short,s1_2,1
concurrent,S001,payoff,short,short,s2_1,42
concurrent,S001,payoff,short,short,s2_2,75
concurrent,S002,mullerlyer,long,long,s1_1,53
concurrent,S002,mullerlyer,long,long,s1_2,64
concurrent,S002,mullerlyer,long,long,s2_1,2
concurrent,S002,mullerlyer,long,long,s2_2,1
concurrent,S002,mullerlyer,long,short,s1_1,67
concurrent,S002,mullerlyer,long,short,s1_2,15
concurrent,S002,mullerlyer,long,short,s2_1,25
concurrent,S002,mullerlyer,long,short,s2_2,13
concurrent,S002,mullerlyer,short,long,s1_1,44
concurrent,S002,mullerlyer,short,long,s1_2,58
concurrent,S002,mullerlyer,short,long,s2_1,16
concurrent,S002,mullerlyer,short,long,s2_2,2
concurrent,S002,mullerlyer,short,short,s1_1,32
concurrent,S002,mullerlyer,short,short,s1_2,2
concurrent,S002,mullerlyer,short,short,s2_1,44
concurrent,S002,mullerlyer,short,short,s2_2,42
concurrent,S003,payoff,long,long,s1_1,43
concurrent,S003,payoff,long,long,s1_2,74
concurrent,S003,payoff,long,long,s2_1,3
concurrent,S003,payoff,long,long,s2_2,0
concurrent,S003,payoff,long,short,s1_1,39
concurrent,S003,payoff,long,short,s1_2,4
concurrent,S003,payoff,long,short,s2_1,37
concurrent,S003,payoff,long,short,s2_2,40
concurrent,S003,payoff,short,long,s1_1,28
concurrent,S003,payoff,short,long,s1_2,64
concurrent,S003,payoff,short,long,s2_1,28
concurrent,S003,payoff,short,long,s2_2,0
concurrent,S003,payoff,short,short,s1_1,11
concurrent,S003,payoff,short,short,s1_2,1
concurrent,S003,payoff,short,short,s2_1,65
concurrent,S003,payoff,short,short,s2_2,43
concurrent,S004,mullerlyer,long,long,s1_1,10
concurrent,S004,mullerlyer,long,long,s1_2,88
concurrent,S004,mullerlyer,long,long,s2_1,20
concurrent,S004,mullerlyer,long,long,s2_2,2
concurrent,S004,mullerlyer,long,short,s1_1,19
concurrent,S004,mullerlyer,long,short,s1_2,23
concurrent,S004,mullerlyer,long,short,s2_1,55
concurrent,S004,mullerlyer,long,short,s2_2,23
concurrent,S004,mullerlyer,short,long,s1_1,35
concurrent,S004,mullerlyer,short,long,s1_2,68
concurrent,S004,mullerlyer,short,long,s2_1,14
concurrent,S004,mullerlyer,short,long,s2_2,3
concurrent,S004,mullerlyer,short,short,s1_1,18
concurrent,S004,mullerlyer,short,short,s1_2,9
concurrent,S004,mullerlyer,short,short,s2_1,48
concurrent,S004,mullerlyer,short,short,s2_2,45
concurrent,S005,payoff,long,long,s1_1,55
concurrent,S005,payoff,long,long,s1_2,62
concurrent,S005,payoff,long,long,s2_1,2
concurrent,S005,payoff,long,long,s2_2,1
concurrent,S005,payoff,long,short,s1_1,66
concurrent,S005,payoff,long,short,s1_2,5
concurrent,S005,payoff,long,short,s2_1,16
concurrent,S005,payoff,long,short,s2_2,33
concurrent,S005,payoff,short,long,s1_1,7
concurrent,S005,payoff,short,long,s1_2,84
concurrent,S005,payoff,short,long,s2_1,28
concurrent,S005,payoff,short,long,s2_2,1
concurrent,S005,payoff,short,short,s1_1,0
concurrent,S005,payoff,short,short,s1_2,3
concurrent,S005,payoff,short,short,s2_1,91
concurrent,S005,payoff,short,short,s2_2,26
concurrent,S006,baserate,long,long,s1_1,105
concurrent,S006,baserate,long,long,s1_2,122
concurrent,S006,baserate,long,long,s2_1,26
concurrent,S006,baserate,long,long,s2_2,17
concurrent,S006,baserate,long,short,s1_1,15
concurrent,S006,baserate,long,short,s1_2,6
concurrent,S006,baserate,long,short,s2_1,25
concurrent,S006,baserate,long,short,s2_2,44
concurrent,S006,baserate,short,long,s1_1,13
concurrent,S006,baserate,short,long,s1_2,63
concurrent,S006,baserate,short,long,s2_1,5
concurrent,S006,baserate,short,long,s2_2,9
concurrent,S006,baserate,short,short,s1_1,29
concurrent,S006,baserate,short,short,s1_2,23
concurrent,S006,baserate,short,short,s2_1,80
concurrent,S006,baserate,short,short,s2_2,138
concurrent,S007,mullerlyer,long,long,s1_1,20
concurrent,S007,mullerlyer,long,long,s1_2,90
concurrent,S007,mullerlyer,long,long,s2_1,5
concurrent,S007,mullerlyer,long,long,s2_2,5
concurrent,S007,mullerlyer,long,short,s1_1,24
concurrent,S007,mullerlyer,long,short,s1_2,64
concurrent,S007,mullerlyer,long,short,s2_1,24
concurrent,S007,mullerlyer,long,short,s2_2,8
concurrent,S007,mullerlyer,short,long,s1_1,22
concurrent,S007,mullerlyer,short,long,s1_2,69
concurrent,S007,mullerlyer,short,long,s2_1,25
concurrent,S007,mullerlyer,short,long,s2_2,4
concurrent,S007,mullerlyer,short,short,s1_1,23
concurrent,S007,mullerlyer,short,short,s1_2,36
concurrent,S007,mullerlyer,short,short,s2_1,55
concurrent,S007,mullerlyer,short,short,s2_2,6
concurrent,S008,payoff,long,long,s1_1,62
concurrent,S008,payoff,long,long,s1_2,52
concurrent,S008,payoff,long,long,s2_1,6
concurrent,S008,payoff,long,long,s2_2,0
concurrent,S008,payoff,long,short,s1_1,51
concurrent,S008,payoff,long,short,s1_2,6
concurrent,S008,payoff,long,short,s2_1,38
concurrent,S008,payoff,long,short,s2_2,25
concurrent,S008,payoff,short,long,s1_1,27
concurrent,S008,payoff,short,long,s1_2,58
concurrent,S008,payoff,short,long,s2_1,32
concurrent,S008,payoff,short,long,s2_2,3
concurrent,S008,payoff,short,short,s1_1,8
concurrent,S008,payoff,short,short,s1_2,8
concurrent,S008,payoff,short,short,s2_1,66
concurrent,S008,payoff,short,short,s2_2,38
concurrent,S009,baserate,long,long,s1_1,117
concurrent,S009,baserate,long,long,s1_2,136
concurrent,S009,baserate,long,long,s2_1,17
concurrent,S009,baserate,long,long,s2_2,0
concurrent,S009,baserate,long,short,s1_1,17
concurrent,S009,baserate,long,short,s1_2,5
concurrent,S009,baserate,long,short,s2_1,40
concurrent,S009,baserate,long,short,s2_2,28
concurrent,S009,baserate,short,long,s1_1,20
concurrent,S009,baserate,short,long,s1_2,12
concurrent,S009,baserate,short,long,s2_1,49
concurrent,S009,baserate,short,long,s2_2,9
concurrent,S009,baserate,short,short,s1_1,3
concurrent,S009,baserate,short,short,s1_2,0
concurrent,S009,baserate,short,short,s2_1,174
concurrent,S009,baserate,short,short,s2_2,93
concurrent,S010,payoff,long,long,s1_1,45
concurrent,S010,payoff,long,long,s1_2,70
concurrent,S010,payoff,long,long,s2_1,4
concurrent,S010,payoff,long,long,s2_2,1
concurrent,S010,payoff,long,short,s1_1,48
concurrent,S010,payoff,long,short,s1_2,8
concurrent,S010,payoff,long,short,s2_1,31
concurrent,S010,payoff,long,short,s2_2,33
concurrent,S010,payoff,short,long,s1_1,45
concurrent,S010,payoff,short,long,s1_2,50
concurrent,S010,payoff,short,long,s2_1,23
concurrent,S010,payoff,short,long,s2_2,2
concurrent,S010,payoff,short,short,s1_1,20
concurrent,S010,payoff,short,short,s1_2,2
concurrent,S010,payoff,short,short,s2_1,50
concurrent,S010,payoff,short,short,s2_2,48
concurrent,S011,mullerlyer,long,long,s1_1,45
concurrent,S011,mullerlyer,long,long,s1_2,65
concurrent,S011,mullerlyer,long,long,s2_1,10
concurrent,S011,mullerlyer,long,long,s2_2,0
concurrent,S011,mullerlyer,long,short,s1_1,23
concurrent,S011,mullerlyer,long,short,s1_2,4
concurrent,S011,mullerlyer,long,short,s2_1,57
concurrent,S011,mullerlyer,long,short,s2_2,36
concurrent,S011,mullerlyer,short,long,s1_1,50
concurrent,S011,mullerlyer,short,long,s1_2,50
concurrent,S011,mullerlyer,short,long,s2_1,20
concurrent,S011,mullerlyer,short,long,s2_2,0
concurrent,S011,mullerlyer,short,short,s1_1,17
concurrent,S011,mullerlyer,short,short,s1_2,1
concurrent,S011,mullerlyer,short,short,s2_1,52
concurrent,S011,mullerlyer,short,short,s2_2,50
concurrent,S012,baserate,long,long,s1_1,139
concurrent,S012,baserate,long,long,s1_2,115
concurrent,S012,baserate,long,long,s2_1,15
concurrent,S012,baserate,long,long,s2_2,1
concurrent,S012,baserate,long,short,s1_1,27
concurrent,S012,baserate,long,short,s1_2,0
concurrent,S012,baserate,long,short,s2_1,39
concurrent,S012,baserate,long,short,s2_2,24
concurrent,S012,baserate,short,long,s1_1,33
concurrent,S012,baserate,short,long,s1_2,46
concurrent,S012,baserate,short,long,s2_1,10
concurrent,S012,baserate,short,long,s2_2,1
concurrent,S012,baserate,short,short,s1_1,25
concurrent,S012,baserate,short,short,s1_2,3
concurrent,S012,baserate,short,short,s2_1,129
concurrent,S012,baserate,short,short,s2_2,113
concurrent,S013,payoff,long,long,s1_1,58
concurrent,S013,payoff,long,long,s1_2,54
concurrent,S013,payoff,long,long,s2_1,7
concurrent,S013,payoff,long,long,s2_2,1
concurrent,S013,payoff,long,short,s1_1,36
concurrent,S013,payoff,long,short,s1_2,5
concurrent,S013,payoff,long,short,s2_1,45
concurrent,S013,payoff,long,short,s2_2,34
concurrent,S013,payoff,short,long,s1_1,32
concurrent,S013,payoff,short,long,s1_2,23
concurrent,S013,payoff,short,long,s2_1,15
concurrent,S013,payoff,short,long,s2_2,50
concurrent,S013,payoff,short,short,s1_1,6
concurrent,S013,payoff,short,short,s1_2,1
concurrent,S013,payoff,short,short,s2_1,15
concurrent,S013,payoff,short,short,s2_2,98
concurrent,S014,mullerlyer,long,long,s1_1,35
concurrent,S014,mullerlyer,long,long,s1_2,73
concurrent,S014,mullerlyer,long,long,s2_1,12
concurrent,S014,mullerlyer,long,long,s2_2,0
concurrent,S014,mullerlyer,long,short,s1_1,40
concurrent,S014,mullerlyer,long,short,s1_2,6
concurrent,S014,mullerlyer,long,short,s2_1,43
concurrent,S014,mullerlyer,long,short,s2_2,31
concurrent,S014,mullerlyer,short,long,s1_1,45
concurrent,S014,mullerlyer,short,long,s1_2,70
concurrent,S014,mullerlyer,short,long,s2_1,5
concurrent,S014,mullerlyer,short,long,s2_2,0
concurrent,S014,mullerlyer,short,short,s1_1,25
concurrent,S014,mullerlyer,short,short,s1_2,2
concurrent,S014,mullerlyer,short,short,s2_1,52
concurrent,S014,mullerlyer,short,short,s2_2,41
concurrent,S015,baserate,long,long,s1_1,13
concurrent,S015,baserate,long,long,s1_2,212
concurrent,S015,baserate,long,long,s2_1,20
concurrent,S015,baserate,long,long,s2_2,25
concurrent,S015,baserate,long,short,s1_1,3
concurrent,S015,baserate,long,short,s1_2,16
concurrent,S015,baserate,long,short,s2_1,12
concurrent,S015,baserate,long,short,s2_2,59
concurrent,S015,baserate,short,long,s1_1,19
concurrent,S015,baserate,short,long,s1_2,51
concurrent,S015,baserate,short,long,s2_1,3
concurrent,S015,baserate,short,long,s2_2,17
concurrent,S015,baserate,short,short,s1_1,19
concurrent,S015,baserate,short,short,s1_2,19
concurrent,S015,baserate,short,short,s2_1,35
concurrent,S015,baserate,short,short,s2_2,197
concurrent,S016,mullerlyer,long,long,s1_1,30
concurrent,S016,mullerlyer,long,long,s1_2,83
concurrent,S016,mullerlyer,long,long,s2_1,6
concurrent,S016,mullerlyer,long,long,s2_2,1
concurrent,S016,mullerlyer,long,short,s1_1,61
concurrent,S016,mullerlyer,long,short,s1_2,17
concurrent,S016,mullerlyer,long,short,s2_1,34
concurrent,S016,mullerlyer,long,short,s2_2,8
concurrent,S016,mullerlyer,short,long,s1_1,47
concurrent,S016,mullerlyer,short,long,s1_2,50
concurrent,S016,mullerlyer,short,long,s2_1,16
concurrent,S016,mullerlyer,short,long,s2_2,7
concurrent,S016,mullerlyer,short,short,s1_1,29
concurrent,S016,mullerlyer,short,short,s1_2,8
